DEFINIENDUM,GENUS,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_SIZE,SENTENCE 
karstification,Action,"Action by water , mainly chemical but also mechanical",,,,,"karstification: Action by water, mainly chemical but also mechanical, that produces features of a karst topography, including such surface features as dolines, Karren, and mogotes and such subsurface features as caves and shafts."
karstland,region,,,,,,karstland: A region characterized by karst topography.
katavothron,,,closed depression|swallow hole,,,,katavothron: A closed depression or swallow hole.
Kegelkarst,karst,,,,,,"Kegelkarst: A general term used to describe several types of tropical humid karst characterized by numerous, closely spaced hemispherical -, or tower-shaped hills having intervening closed depressions and narrow steep-walled karst valleys or passageways."
keyhole,passage,,"in cross section , rounded at the top , constricted in the middle , and rectangular or flared out below",,in a cave,,"keyhole: A small passage or opening in a cave; in cross section, rounded at the top, constricted in the middle, and rectangular or flared out below."
knobstone,Speleothem,,"larger , more pronounced , and more widely separated than cave coral",,,,"knobstone: Speleothem, larger, more pronounced, and more widely separated than cave coral."
kras krš,,,,,,,"kras, krš: A Slavic word meaning bleak, waterless place, from which the term karst is derived. Synonym: karst."
level,,,group of passages,,developed in the same horizontal plane|Within a cave,,"level: Within a cave, a group of passages developed in the same horizontal plane."
level,,,,,,,level: The altitudinal relation of a cave floor to an outside surface.
light hole,swallow hole,,swallow hole,Fossil or abandoned,,,light hole: Fossil or abandoned swallow hole.
limestone,rock,sedimentary,,,,,"limestone: A sedimentary rock consisting chiefly of calcium carbonate, CaCO"
limestone pavement,surface,,commonly divided into blocks by solutionally widened joints,,parallel to the bedding,,"limestone pavement: A bare plane surface of limestone, parallel to the bedding, commonly divided into blocks by solutionally widened joints, and pitted by solution pans."
live cave,Cave,,,,,,live cave: Cave in which there is river action or active deposition of speleothems. Compare active cave.
active cave,Cave,,,,,,live cave: Cave in which there is river action or active deposition of speleothems. Compare active cave.
lost river,surface stream,,a surface stream,,In a karst region,,"lost river: In a karst region, a surface stream that enters an underground course."
lycopodium spores,Spores,,,which can be used in natural or dyed color as a label,in karst areas,,"lycopodium spores: Spores of lycopodium claratum, which can be used in natural or dyed color as a label in studying ground-water movement in karst areas."
meander,curve,formed by lateral shifting of a cave stream,an arcuate curve,,In a cave|in a channel,,"meander: In a cave, an arcuate curve in a channel formed by lateral shifting of a cave stream. See ceiling meander; meander niche."
meander niche,,formed by the downward and lateral erosion of a stream on the floor of a passage,conical or crescentshaped opening,,in the wall of a cave,,"meander niche: A conical or crescentshaped opening in the wall of a cave, formed by the downward and lateral erosion of a stream on the floor of a passage."
merokarst,karst topography,,,,,,"merokarst: Defined by Cvijic to indicate imperfect karst topography as found on thin, impure, or chalky limestone where surface drainage and dry valleys are present in addition to some karstic features. Contrast perfectly formed holokarst."
microkarst,Karst,,,,,surficial features are small,microkarst: Karst topography in which all surficial features are small; an area dominated by minor karst features.
Mischungskorrosion,,derived from the mixing of two saturated waters that differ in carbon dioxide partial pressure,,,,,Mischungskorrosion: Dissolving of limestone by water derived from the mixing of two saturated waters that differ in carbon dioxide partial pressure. Such a mixture is undersaturated because a nonlinear re  ation exists between calcite solubility and the partial pressure of carbon dioxide.
karst inselberg,hill,,surrounded by nearly flat alluviated plains|karst residual hills|steep-sided,,,,"mogote: A steep-sided hill of limestone, generally surrounded by nearly flat alluviated plains; karst inselberg. Originally used in Cuba in referring to residual hills of folded limestone in the Sierra de los Organos but now used internationally for karst residual hills in the Tropics."
mogote,hill,,surrounded by nearly flat alluviated plains|karst residual hills|steep-sided,,,,"mogote: A steep-sided hill of limestone, generally surrounded by nearly flat alluviated plains; karst inselberg. Originally used in Cuba in referring to residual hills of folded limestone in the Sierra de los Organos but now used internationally for karst residual hills in the Tropics."
moon milk,cave deposit,,plastic,,,,"moon milk: A white plastic calcareous cave deposit composed of calcite, huntite, or magnesite. From Swiss dialect moon - milch, elf's milk. Corrupt spelling mondmilch is common."
mud stalagmite,Stalagmite,,,,,,mud stalagmite: Stalagmite composed principally of clay or sandy clay and commonly less than 30 percent calcium carbonate.
naked karst,Karst,,,,,,"naked karst, bare karst: Karst topography having much exposed bedrock."
bare karst,Karst,,,,,,"naked karst, bare karst: Karst topography having much exposed bedrock."
natural arch,arch,,very short natural tunnel|rock arch,,,,"natural arch: A rock arch or very short natural tunnel; contrasted with natural bridge, which spans a ravine or valley."
natural bridge,bridge,not yet eroded away,rock bridge spanning a ravine,,,,natural bridge: A rock bridge spanning a ravine and not yet eroded away.
natural tunnel,cave,,generally fairly straight in direction and fairly uniform in cross section|open at both ends|nearly horizontal,,,,"natural tunnel: A nearly horizontal cave open at both ends, generally fairly straight in direction and fairly uniform in cross section."
natural well,shaft,,open to the surface|A vertical,,,,"natural well: A vertical shaft in limestone, open to the surface and having water at the bottom; similar to a cenote."
network,,,complex pattern of repeatedly connected passages,,in a cave system,,network: A complex pattern of repeatedly connected passages in a cave system. Synonym: labyrinth.
nip,,produced by erosion or solution,undercutting notch,,along a seacoast between high and low tide levels,,"nip: An undercutting notch in rock, particularly limestone, along a seacoast between high and low tide levels, produced by erosion or solution."
outflow cave,Cave,,,from which stream flows out or formerly did so,,,"outflow cave: Cave from which stream flows out or formerly did so. Synonym, effluent cave."
effluent cave,Cave,,,from which stream flows out or formerly did so,,,"outflow cave: Cave from which stream flows out or formerly did so. Synonym, effluent cave."
paleokarst,,area that has been buried by later sediments,,,,,"paleokarst: A karstified rock or area that has been buried by later sediments; in some places, ancient caves have been completely filled by the later sediments,"
palette,,spared during solution of the rock on each side of it .,flat protruding sheet,,"In a cave ,",,"palette: In a cave, a more or less flat protruding sheet of crystalline calcium carbonate spared during solution of the rock on each side of it. See also blade; shield."
partition,,residual,nearly vertical residual rock mass,,in a cave .,,partition: A nearly vertical residual rock mass in a cave. residual
